Date_Checked,Isolate,Sub_Isolate,Clustered_morphotype,State,Date_Subcultured,coverage,Reculture,Contaminated,Comments
8-Jul-18,515,1,13,2,22-Jul-17,100,Y,N,
8-Jul-18,8,1,11,5,15-Jul-17,100,N,N,
8-Jul-18,177,1,12,1,19-Jul-17,100,Y,N,
8-Jul-18,1475,1,12,1,2-Aug-17,100,Y,N,
8-Jul-18,15,1,14,3,18-Jul-17,100,Y,N,
8-Jul-18,134,1,13,4,19-Jul-17,100,N,N,
8-Jul-18,551,1,13,1,22-Jul-17,100,Y,N,
8-Jul-18,223,2,13,2,19-Jan-18,100,Y,N,
8-Jul-18,273,1,13,4,20-Jul-17,100,N,N,
8-Jul-18,901,1,11,3,28-Jul-17,100,Y,N,
8-Jul-18,395,1,13,4,21-Jul-17,100,N,Y,white cont. at edge of cult.
8-Jul-18,376,1,13,5,20-Jul-17,100,N,N,
8-Jul-18,645,2,13,5,25-Apr-18,100,N,N,
8-Jul-18,1433,1,12,5,2-Aug-17,100,N,N,
8-Jul-18,351,1,14,5,20-Jul-17,100,N,N,
8-Jul-18,91,1,14,4,18-Jul-17,100,N,N,
8-Jul-18,132,2,13,1,26-Sep-17,100,Y,N,
8-Jul-18,73,1,11,4,18-Jul-17,100,N,N,
8-Jul-18,945,1,12,5,5-Oct-17,100,N,N,
8-Jul-18,145,1,13,1,19-Jul-17,100,Y,N,
8-Jul-18,555,2,14,3,18-Dec-17,100,Y,N,
8-Jul-18,500,1,12,4,22-Jul-17,100,N,N,
8-Jul-18,415,1,14,1,21-Jul-17,100,Y,N,
8-Jul-18,33,1,12,1,18-Jul-17,100,Y,N,
8-Jul-18,505,2,11,5,25-Apr-18,100,N,Y,possible cont. white spot on edge
8-Jul-18,639,1,15,1,26-Sep-17,100,Y,N,
8-Jul-18,144,2,14,5,21-Nov-17,90,N,Y,cont. around one side of plate
8-Jul-18,942,1,12,1,28-Jul-17,100,Y,N,
8-Jul-18,948,1,12,4,28-Jul-17,100,N,N,
8-Jul-18,38,1,12,5,18-Jul-17,100,N,N,
8-Jul-18,18,1,11,3,18-Jul-17,100,Y,N,
8-Jul-18,525,1,14,3,22-Jul-17,100,Y,N,
8-Jul-18,306,1,12,1,20-Jul-17,100,Y,N,
8-Jul-18,945,1,12,3,28-Jul-17,100,N,N,
8-Jul-18,115,1,12,4,18-Jul-17,100,N,N,
8-Jul-18,396,1,12,2,21-Jul-17,100,Y,N,
8-Jul-18,79,1,15,5,18-Jul-17,100,N,N,
8-Jul-18,647,1,13,4,21-Jul-17,100,N,N,
8-Jul-18,469,1,13,1,22-Jul-17,100,Y,N,
8-Jul-18,26,1,11,5,18-Jul-17,100,N,N,
8-Jul-18,555,2,14,5,19-Jan-18,100,N,N,
8-Jul-18,321,1,14,5,20-Jul-17,100,N,N,
8-Jul-18,507,1,12,1,22-Jul-17,100,Y,N,
8-Jul-18,4,1,11,4,15-Jul-17,100,N,N,
8-Jul-18,144,1,14,1,19-Jul-17,10,Y,N,
8-Jul-18,144,2,14,5,21-Nov-17,100,N,N,
8-Jul-18,354,1,12,5,20-Jul-17,100,N,Y,possible cont. white spots all over
8-Jul-18,343,1,13,1,20-Jul-17,80,Y,N,
8-Jul-18,222,1,13,1,19-Jul-17,100,Y,N,
8-Jul-18,491,1,11,5,22-Jul-17,100,N,N,
