Isolate	Extra_name_info	Clustered_Morphotype	OTU_Clustering	Phylum	Class	Order	Family	Genus	Species
447				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
453				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Bambusaria bambusae
454				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
455				Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	NA
458				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
459				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
476				Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	NA
484	ITS			Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Laetisaria	Laetisaria fuciformis
491				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
499				Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma harzianum
500				Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Neottiosporina	NA
503				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
504				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
509				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
514				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Phyllactinia	NA
517				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
525				Ascomycota	Sordariomycetes	Diaporthales	NA	NA	NA
530				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
535				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
538				Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Leveillula elaeagni
541				Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe columnaris
544	ITS			Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Obolarina	NA
555				Ascomycota	Sordariomycetes	Botryosphaeriales	Botryosphaeriaceae	NA	NA
569				Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia liquefaciens
571				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
573				Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	Bartalinia	NA
